Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2020-03-01 01:00 AM,2020,03,01,01,152.4,203,Very Unhealthy,142.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 02:00 AM,2020,03,01,02,148.2,199,Unhealthy,144.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 03:00 AM,2020,03,01,03,142.6,196,Unhealthy,137.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 04:00 AM,2020,03,01,04,135.8,192,Unhealthy,129.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 05:00 AM,2020,03,01,05,126.9,188,Unhealthy,118.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 06:00 AM,2020,03,01,06,129.7,189,Unhealthy,127.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 07:00 AM,2020,03,01,07,132.9,191,Unhealthy,138.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 08:00 AM,2020,03,01,08,147.8,199,Unhealthy,174.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 09:00 AM,2020,03,01,09,144.2,197,Unhealthy,138.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 10:00 AM,2020,03,01,10,126.4,188,Unhealthy,101.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 11:00 AM,2020,03,01,11,108.3,178,Unhealthy,91.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 12:00 PM,2020,03,01,12,126.7,188,Unhealthy,147.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 01:00 PM,2020,03,01,13,129.2,189,Unhealthy,132.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 02:00 PM,2020,03,01,14,118.6,184,Unhealthy,107.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 03:00 PM,2020,03,01,15,110.6,179,Unhealthy,102.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 04:00 PM,2020,03,01,16,94.0,171,Unhealthy,78.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 05:00 PM,2020,03,01,17,82.0,165,Unhealthy,70.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 06:00 PM,2020,03,01,18,84.0,166,Unhealthy,86.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 07:00 PM,2020,03,01,19,97.4,173,Unhealthy,111.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 08:00 PM,2020,03,01,20,123.2,186,Unhealthy,149.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 09:00 PM,2020,03,01,21,128.1,188,Unhealthy,133.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 10:00 PM,2020,03,01,22,132.5,191,Unhealthy,137.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-01 11:00 PM,2020,03,01,23,138.7,194,Unhealthy,145.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 12:00 AM,2020,03,02,00,139.3,194,Unhealthy,140.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 01:00 AM,2020,03,02,01,134.6,192,Unhealthy,130.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 02:00 AM,2020,03,02,02,134.3,192,Unhealthy,134.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 03:00 AM,2020,03,02,03,141.6,195,Unhealthy,149.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 04:00 AM,2020,03,02,04,147.3,198,Unhealthy,153.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 05:00 AM,2020,03,02,05,133.8,191,Unhealthy,118.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 06:00 AM,2020,03,02,06,134.4,192,Unhealthy,130.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 07:00 AM,2020,03,02,07,135.4,192,Unhealthy,136.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 08:00 AM,2020,03,02,08,135.6,192,Unhealthy,137.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 09:00 AM,2020,03,02,09,131.7,190,Unhealthy,119.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 10:00 AM,2020,03,02,10,129.8,189,Unhealthy,124.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 11:00 AM,2020,03,02,11,122.8,186,Unhealthy,109.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 12:00 PM,2020,03,02,12,109.2,179,Unhealthy,93.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 01:00 PM,2020,03,02,13,106.0,177,Unhealthy,101.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 02:00 PM,2020,03,02,14,105.9,177,Unhealthy,-999.0,UG/M3,1 Hr,Missing
Dhaka,PM2.5 - Principal,2020-03-02 03:00 PM,2020,03,02,15,114.1,181,Unhealthy,122.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 04:00 PM,2020,03,02,16,109.6,179,Unhealthy,103.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 05:00 PM,2020,03,02,17,109.7,179,Unhealthy,110.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 06:00 PM,2020,03,02,18,120.1,184,Unhealthy,139.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 07:00 PM,2020,03,02,19,143.0,196,Unhealthy,167.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 08:00 PM,2020,03,02,20,172.7,223,Very Unhealthy,199.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 09:00 PM,2020,03,02,21,197.0,247,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 10:00 PM,2020,03,02,22,214.0,264,Very Unhealthy,231.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-02 11:00 PM,2020,03,02,23,255.0,305,Hazardous,296.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 12:00 AM,2020,03,03,00,252.0,302,Hazardous,249.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 01:00 AM,2020,03,03,01,254.0,304,Hazardous,256.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 02:00 AM,2020,03,03,02,242.5,292,Very Unhealthy,231.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 03:00 AM,2020,03,03,03,220.2,270,Very Unhealthy,198.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 04:00 AM,2020,03,03,04,222.1,272,Very Unhealthy,224.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 05:00 AM,2020,03,03,05,219.5,269,Very Unhealthy,217.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 06:00 AM,2020,03,03,06,162.2,213,Very Unhealthy,105.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 07:00 AM,2020,03,03,07,122.6,186,Unhealthy,83.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 08:00 AM,2020,03,03,08,87.7,168,Unhealthy,53.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 09:00 AM,2020,03,03,09,62.3,155,Unhealthy,37.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 10:00 AM,2020,03,03,10,61.6,154,Unhealthy,61.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 11:00 AM,2020,03,03,11,63.3,155,Unhealthy,65.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 12:00 PM,2020,03,03,12,57.6,152,Unhealthy,52.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 01:00 PM,2020,03,03,13,50.2,137,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 02:00 PM,2020,03,03,14,39.1,110,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 03:00 PM,2020,03,03,15,38.5,108,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 04:00 PM,2020,03,03,16,41.7,116,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 05:00 PM,2020,03,03,17,51.8,141,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 06:00 PM,2020,03,03,18,66.4,157,Unhealthy,81.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 07:00 PM,2020,03,03,19,87.2,167,Unhealthy,108.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 08:00 PM,2020,03,03,20,93.6,171,Unhealthy,100.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 09:00 PM,2020,03,03,21,101.8,175,Unhealthy,110.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 10:00 PM,2020,03,03,22,106.9,178,Unhealthy,112.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-03 11:00 PM,2020,03,03,23,110.9,180,Unhealthy,115.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 12:00 AM,2020,03,04,00,103.4,176,Unhealthy,96.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 01:00 AM,2020,03,04,01,94.2,171,Unhealthy,85.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 02:00 AM,2020,03,04,02,87.1,167,Unhealthy,80.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 03:00 AM,2020,03,04,03,97.5,173,Unhealthy,108.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 04:00 AM,2020,03,04,04,91.6,170,Unhealthy,85.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 05:00 AM,2020,03,04,05,81.6,164,Unhealthy,67.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 06:00 AM,2020,03,04,06,83.4,165,Unhealthy,86.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 07:00 AM,2020,03,04,07,98.8,173,Unhealthy,119.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 08:00 AM,2020,03,04,08,157.4,208,Very Unhealthy,214.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 09:00 AM,2020,03,04,09,176.7,227,Very Unhealthy,196.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 10:00 AM,2020,03,04,10,140.3,195,Unhealthy,104.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 11:00 AM,2020,03,04,11,103.6,176,Unhealthy,67.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 12:00 PM,2020,03,04,12,84.8,166,Unhealthy,66.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 01:00 PM,2020,03,04,13,86.4,167,Unhealthy,88.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 02:00 PM,2020,03,04,14,93.2,170,Unhealthy,100.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 03:00 PM,2020,03,04,15,99.1,174,Unhealthy,105.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 04:00 PM,2020,03,04,16,110.0,179,Unhealthy,121.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 05:00 PM,2020,03,04,17,92.5,170,Unhealthy,75.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 06:00 PM,2020,03,04,18,82.2,165,Unhealthy,72.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 07:00 PM,2020,03,04,19,86.6,167,Unhealthy,91.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 08:00 PM,2020,03,04,20,89.2,168,Unhealthy,92.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 09:00 PM,2020,03,04,21,111.6,180,Unhealthy,134.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 10:00 PM,2020,03,04,22,71.3,159,Unhealthy,31.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-04 11:00 PM,2020,03,04,23,57.6,152,Unhealthy,44.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-05 12:00 AM,2020,03,05,00,62.8,155,Unhealthy,68.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-05 01:00 AM,2020,03,05,01,81.4,164,Unhealthy,100.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-05 02:00 AM,2020,03,05,02,55.1,149,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-05 03:00 AM,2020,03,05,03,41.0,115,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-05 04:00 AM,2020,03,05,04,39.0,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-03-05 05:00 AM,2020,03,05,05,45.5,126,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
