Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2020-10-01 01:00 AM,2020,10,01,01,64.5,156,Unhealthy,80.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 02:00 AM,2020,10,01,02,135.7,192,Unhealthy,207.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 03:00 AM,2020,10,01,03,138.9,194,Unhealthy,142.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 04:00 AM,2020,10,01,04,143.4,196,Unhealthy,148.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 05:00 AM,2020,10,01,05,136.7,193,Unhealthy,130.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 06:00 AM,2020,10,01,06,109.8,179,Unhealthy,83.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 07:00 AM,2020,10,01,07,111.4,180,Unhealthy,113.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 08:00 AM,2020,10,01,08,110.2,179,Unhealthy,109.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 09:00 AM,2020,10,01,09,83.6,166,Unhealthy,57.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 10:00 AM,2020,10,01,10,93.8,171,Unhealthy,104.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 11:00 AM,2020,10,01,11,95.4,172,Unhealthy,97.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 12:00 PM,2020,10,01,12,65.7,156,Unhealthy,36.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 01:00 PM,2020,10,01,13,48.3,133,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
